No,KOI Code,Variation,Breeder,VariationID,BreederID,MMYY,Sequence,Bloodline,BloodlineID,Nickname,Variety ,Gender,Birth Year & Month,Age,Breeder,Purchase Date,Size (cm),updated date,update size (cm),Seller Agent,Seller ID,Handling Agent,Price Buy ( JPY ),Price Buy ( IDR ),Keeping Location,Link Photos,Link Video,Link Trophy,Link Certificate,Sell Price (IDR),Sell Price ( JPY),Date of Sell,Buyer Name,Date of Death,Death Note,
73,KAUMOK122200001,KAU,MOK,98,48,1222,00001,,1,,Kohaku,Male,Jun 2018,4,Momotaro Koi ,Dec 2022,71,,,Koi Palace,4,,,53040000,Duta Mas Jakarta,KAUMOK122200001.jpg,KAUMOK122200001.mp4,,,,,,,,,
74,GKOMHI122200001,GKO,MHI,47,42,1222,00001,,1,,Ginrin Kohaku,Male,Jun 2018,4,Maruhiro Koi Farm,Dec 2022,74,,,Koi Palace,4,,,77166667,Duta Mas Jakarta,GKOMHI122200001.jpg,GKOMHI122200001.mp4,,,,,,,,,
75,GSHOMF112200001,GSH,OMF,36,62,1122,00001,,1,,Ginrin Shiro,Female,Jun 2019,3,Omosako Koi Farm,Nov 2022,63,,,Koi Palace,4,,,35000000,Duta Mas Jakarta,GSHOMF112200001.jpg,GSHOMF112200001.mp4,,,,,,,,,
76,TANMOK122200001,TAN,MOK,166,48,1222,00001,,1,,Tancho,Female,Jun 2018,4,Momotaro Koi ,Dec 2022,75,,,Koi Palace,4,,,67000000,Duta Mas Jakarta,TANMOK122200001.jpg,TANMOK122200001.mp4,,,,,,,,,
77,TSHMRS122200001,TSH,MRS,176,49,1222,00001,,1,,Tancho Showa,Female,Jun 2019,3,Marusaka Koi Farm,Dec 2022,75,,,Koi Palace,4,,,90950000,Duta Mas Jakarta,TSHMRS122200001.jpg,TSHMRS122200001.mp4,,,,,,,,,
78,KAUMAY122200001,KAU,MAY,98,39,1222,00001,,1,,Kohaku,Female,Jun 2019,3,Maruyama Koi Fam,Dec 2022,66,,,Koi Palace,4,,,73500000,Duta Mas Jakarta,KAUMAY122200001.jpg,KAUMAY122200001.mp4,,,,,,,,,
79,TSHMRS122200002,TSH,MRS,176,49,1222,00002,,1,,Tancho Showa,Female,Jun 2019,3,Marusaka Koi Farm,Dec 2022,75,,,Koi Palace,4,,,90950000,Duta Mas Jakarta,TSHMRS122200002.jpg,TSHMRS122200002.mp4,,,,,,,,,
80,SHUKAW112200001,SHU,KAW,160,22,1122,00001,,1,,Shusui,Female,Jun 2019,3,Kawakami Koi Farm,Nov 2022,68,,,Koi Palace,4,,,60000000,Duta Mas Jakarta,SHUKAW112200001.jpg,SHUKAW112200001.mp4,,,,,,,,,
81,TSHMHD122200001,TSH,MHD,176,41,1222,00001,,1,,Tancho Showa,Male,Jun 2019,3,Maruhiro Koi Farm,Dec 2022,61,,,Koi Palace,4,,,77166667,Duta Mas Jakarta,TSHMHD122200001.jpg,TSHMHD122200001.mp4,,,,,,,,,
82,TSAJDK022300001,TSA,JDK,174,93,0223,00001,,1,,Tancho Sanke,Male,Jun 2018,3,JDKC Farm,Feb 2023,64,,,Pieth,2,,,15000000,Duta Mas Jakarta,TSAJDK022300001.jpg,TSAJDK022300001.mp4,,,,,,,,,
83,GSHOMF122200001,GSH,OMF,36,62,1222,00001,,1,,Ginrin Shiro,Male,Jun 2019,3,Omosako Koi Farm,Dec 2022,55,,,Sumo Koi Farm,7,,,20000000,Duta Mas Jakarta,GSHOMF122200001.jpg,GSHOMF122200001.mp4,,,,,,,,,
84,GKAOYF022300001,GKA,OYF,50,66,0223,00001,,1,,Ginrin Kawari,Male,Jun 2020,3,Oyama Koi Farm,Feb 2023,60,,,Pieth,2,,500000,,Duta Mas Jakarta,GKAOYF022300001.jpg,GKAOYF022300001.mp4,,,,,,,,,
85,BGIMHD122200001,BGI,MHD,10,41,1222,00001,,1,,Beni Ginga,Male,Jun 2019,3,Maruhiro Koi Farm,Dec 2022,63,,,Koi Palace,4,,,14500000,Duta Mas Jakarta,BGIMHD122200001.jpg,BGIMHD122200001.mp4,,,,,,,,,
86,MUOMHD122200001,MUO,MHD,136,41,1222,00001,,1,,Mukassi Ogon,Female,Jun 2019,3,Maruhiro Koi Farm,Dec 2022,65,,,Koi Palace,4,,,19950000,Duta Mas Jakarta,MUOMHD122200001.jpg,MUOMHD122200001.mp4,,,,,,,,,
87,GSWHIF000000001,GSW,HIF,65,9,0000,00001,,1,,Ginrin Showa,Female,,3,Hiroi Koi Farm,,71,,,Koi Palace,4,,,49700000,Duta Mas Jakarta,GSWHIF000000001.jpg,GSWHIF000000001.mp4,,,,,,,,,
88,KRHMAR112200001,KRH,MAR,93,38,1122,00001,,1,,Karashi,Female,Jun 2019,3,Marudo Koi Farm,Nov 2022,65,,,Koi Palace,4,,,45000000,Duta Mas Jakarta,KRHMAR112200001.jpg,KRHMAR112200001.mp4,,,,,,,,,
89,GSWYKF112200001,GSW,YKF,65,89,1122,00001,,1,,Ginrin Showa,Female,Jun 2019,3,Yagenji Koi Farm,Nov 2022,70,,,Koi Palace,4,,,29500000,Duta Mas Jakarta,GSWYKF112200001.jpg,GSWYKF112200001.mp4,,,,,,,,,
90,GASXXX000000001,GAS,XXX,37,1,0000,00001,,1,,Ginrin Asagi,Female,,3,,,72,,,Koi Palace,4,,,,Duta Mas Jakarta,GASXXX000000001.jpg,GASXXX000000001.mp4,,,,,,,,,
91,BENXXX000000001,BEN,XXX,8,1,0000,00001,,1,,Benigoi,Female,,3,,,68,,,Koi Palace,4,,,,Duta Mas Jakarta,BENXXX000000001.jpg,BENXXX000000001.mp4,,,,,,,,,
92,GSWHIF122200002,GSW,HIF,65,9,1222,00002,,1,,Ginrin Showa,Female,Jun 2019,3,Hiroi Koi Farm,Dec 2022,29,,,Koi Palace,4,,,49700000,Duta Mas Jakarta,GSWHIF122200002.jpg,GSWHIF122200002.mp4,,,,,,,,,
93,GSHOMF122200001,GSH,OMF,36,62,1222,00001,,1,,Gin Shiro,Female,,3,Omosako Koi Farm,,67,,,Koi Palace,4,,,35000000,Duta Mas Jakarta,GSHOMF122200001.jpg,GSHOMF122200001.mp4,,,,,,,,,
94,SANTAM122200001,SAN,TAM,151,80,1222,00001,,1,,Sanke,Female,Jun 2019,3,Tamaura Fish Farm,Dec 2022,70,,,Koi Palace,4,,,73500000,Duta Mas Jakarta,SANTAM122200001.jpg,SANTAM122200001.mp4,,,,,,,,,
95,KAUMOK112200001,KAU,MOK,98,48,1122,00001,,1,,Kohaku,Female,Jun 2018,3,Momotaro Koi,Nov 2022,74,,,Koi Palace,4,,,53040000,Duta Mas Jakarta,KAUMOK112200001.jpg,KAUMOK112200001.mp4,,,,,,,,,
96,CHAMAR112200001,CHA,MAR,17,38,1122,00001,,1,,Chagoi,Female,Jun 2018,4,Marudo Koi Farm,Nov 2022,75,,,Koi Palace,4,,,45000000,Duta Mas Jakarta,CHAMAR112200001.jpg,CHAMAR112200001.mp4,,,,,,,,,
97,CHAMAR122200001,CHA,MAR,17,38,1222,00001,,1,,Chagoi,Female,Jun 2018,4,Marudo Koi Farm,Dec 2022,82,,,Koi Palace,4,,,186400000,Duta Mas Jakarta,CHAMAR122200001.jpg,CHAMAR122200001.mp4,,,,,,,,,
98,YOGIZU112200001,YOG,IZU,177,19,1122,00001,,1,,Yamabuki Ogon,Female,Jun 2018,4,Izumiya,Nov 2022,83,,,Koi Palace,4,,,55000000,Duta Mas Jakarta,YOGIZU112200001.jpg,YOGIZU112200001.mp4,,,,,,,,,
99,MUOXXX000000001,MUO,XXX,136,1,0000,00001,,1,,Mukashi Ogon,Male,,3,,,66,,,Koi Palace,4,,,,Duta Mas Jakarta,MUOXXX000000001.jpg,MUOXXX000000001.mp4,,,,,,,,,
100,SHUXXX000000001,SHU,XXX,160,1,0000,00001,,1,,Shusui,Female,,3,,,65,,,Koi Palace,4,,,,Duta Mas Jakarta,SHUXXX000000001.jpg,SHUXXX000000001.mp4,,,,,,,,,
101,KUAXXX000000001,KUA,XXX,123,1,0000,00001,,1,,Kujaku,Female,,4,,,75,,,Koi Palace,4,,,,Duta Mas Jakarta,KUAXXX000000001.jpg,KUAXXX000000001.mp4,,,,,,,,,
102,SHUMSE122200001,SHU,MSE,160,51,1222,00001,,1,,Shusui,Male,Jun 2019,3,Marusei Koi Farm,Dec 2022,66,,,Koi Palace,4,,,66200000,Duta Mas Jakarta,SHUMSE122200001.jpg,SHUMSE122200001.mp4,,,,,,,,,
103,MUOMHI112200001,MUO,MHI,136,42,1122,00001,,1,,Mukashi Ogon,Female,Jun 2018,4,Maruhiro Koi Farm,Nov 2022,78,,,Koi Palace,4,,,19950000,Duta Mas Jakarta,MUOMHI112200001.jpg,MUOMHI112200001.mp4,,,,,,,,,
104,HUIMHI122200001,HUI,MHI,81,42,1222,00001,,1,,Hiutsuri,Female,Jun 2018,4,Maruhiro Koi Farm,Dec 2022,80,,,Koi Palace,4,,,77166667,Duta Mas Jakarta,HUIMHI122200001.jpg,HUIMHI122200001.mp4,,,,,,,,,
105,OCHHIF122200001,OCH,HIF,138,9,1222,00001,,1,,Ochiba,Female,Jun 2019,3,Hiroi Koi Farm,Dec 2022,68,,,Koi Palace,4,,,49700000,Duta Mas Jakarta,OCHHIF122200001.jpg,OCHHIF122200001.mp4,,,,,,,,,
106,XXXXXX000000001,XXX,XXX,1,1,0000,00001,,1,,Aragoke Mukasi,Female,,3,,,66,,,Koi Palace,4,,,,Duta Mas Jakarta,XXXXXX000000001.jpg,XXXXXX000000001.mp4,,,,,,,,,
107,OCHHIF122200002,OCH,HIF,138,9,1222,00002,,1,,Ochiba,Female,Jun 2018,4,Hiroi Koi Farm,Dec 2022,73,,,Koi Palace,4,,,49700000,Duta Mas Jakarta,OCHHIF122200002.jpg,OCHHIF122200002.mp4,,,,,,,,,
108,HUIMHI122200001,HUI,MHI,81,42,1222,00001,,1,,Hiutsuri,Male,Jun 2019,3,Maruhiro Koi Farm,Dec 2022,64,,,Koi Palace,4,,,77166667,Duta Mas Jakarta,HUIMHI122200001.jpg,HUIMHI122200001.mp4,,,,,,,,,
